Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\H209K_50.dux
Date Acquired:,,,"March 10, 2017 3:33 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,-0.0146
Corr Coeff,,-0.3540
Variance,,0.029311
Result unit/min,,0.0146

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.9501
0.17,,0.9426
0.33,,0.9380
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8910
1.00,,0.8833
1.17,,0.8769
1.33,,0.8710
1.50,,0.8652
1.67,,0.8595
1.83,,0.8546
2.00,,0.8497
2.17,,0.8442
2.33,,0.8394
2.50,,0.8347
2.67,,0.8304
2.83,,0.8269
3.00,,0.8227
3.17,,0.8185
3.33,,0.8140
3.50,,0.8099
3.67,,0.8055
3.83,,0.8019
4.00,,0.7976
4.17,,0.7933
4.33,,0.7897
4.50,,0.7852
4.67,,0.7814
4.83,,0.7773
5.00,,0.7732
5.17,,0.7692
5.33,,0.7655
5.50,,0.7615
5.67,,0.7573
5.83,,0.7534
6.00,,0.7492
6.17,,0.7454
6.33,,0.7416
6.50,,0.7376
6.67,,0.7342
6.83,,0.7302
7.00,,0.7260
7.17,,0.7223
7.33,,0.7188
7.50,,0.7146
7.67,,0.7111
7.83,,0.7071
8.00,,0.7036
8.17,,0.6994
8.33,,0.6957
8.50,,0.6923
8.67,,0.6880
8.83,,0.6839
9.00,,0.6809
9.17,,0.6773
9.33,,0.6739
9.50,,0.6701
9.67,,0.6662
9.83,,0.6628
10.00,,0.6587
10.17,,0.6549
10.33,,0.6514
10.50,,0.6476
10.67,,0.6432
10.83,,0.6395
11.00,,0.6359
11.17,,0.6323
11.33,,0.6287
11.50,,0.6251
11.67,,0.6216
11.83,,0.6181
12.00,,0.6144
12.17,,0.6105
12.33,,0.6069
12.50,,0.6033
12.67,,0.5993
12.83,,0.5960
13.00,,0.5920
13.17,,0.5886
13.33,,0.5851
13.50,,0.5813
13.67,,0.5777
13.83,,0.5741
14.00,,0.5702
14.17,,0.5665
14.33,,0.5630
14.50,,0.5596
14.67,,0.5562
14.83,,0.5524
15.00,,0.5487

NET ABSORBANCES
Time,,Sample 1
0.00,,0.9501
0.17,,0.9426
0.33,,0.9380
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8910
1.00,,0.8833
1.17,,0.8769
1.33,,0.8710
1.50,,0.8652
1.67,,0.8595
1.83,,0.8546
2.00,,0.8497
2.17,,0.8442
2.33,,0.8394
2.50,,0.8347
2.67,,0.8304
2.83,,0.8269
3.00,,0.8227
3.17,,0.8185
3.33,,0.8140
3.50,,0.8099
3.67,,0.8055
3.83,,0.8019
4.00,,0.7976
4.17,,0.7933
4.33,,0.7897
4.50,,0.7852
4.67,,0.7814
4.83,,0.7773
5.00,,0.7732
5.17,,0.7692
5.33,,0.7655
5.50,,0.7615
5.67,,0.7573
5.83,,0.7534
6.00,,0.7492
6.17,,0.7454
6.33,,0.7416
6.50,,0.7376
6.67,,0.7342
6.83,,0.7302
7.00,,0.7260
7.17,,0.7223
7.33,,0.7188
7.50,,0.7146
7.67,,0.7111
7.83,,0.7071
8.00,,0.7036
8.17,,0.6994
8.33,,0.6957
8.50,,0.6923
8.67,,0.6880
8.83,,0.6839
9.00,,0.6809
9.17,,0.6773
9.33,,0.6739
9.50,,0.6701
9.67,,0.6662
9.83,,0.6628
10.00,,0.6587
10.17,,0.6549
10.33,,0.6514
10.50,,0.6476
10.67,,0.6432
10.83,,0.6395
11.00,,0.6359
11.17,,0.6323
11.33,,0.6287
11.50,,0.6251
11.67,,0.6216
11.83,,0.6181
12.00,,0.6144
12.17,,0.6105
12.33,,0.6069
12.50,,0.6033
12.67,,0.5993
12.83,,0.5960
13.00,,0.5920
13.17,,0.5886
13.33,,0.5851
13.50,,0.5813
13.67,,0.5777
13.83,,0.5741
14.00,,0.5702
14.17,,0.5665
14.33,,0.5630
14.50,,0.5596
14.67,,0.5562
14.83,,0.5524
15.00,,0.5487

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.9501
0.17,,0.9426
0.33,,0.9380
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8910
1.00,,0.8833
1.17,,0.8769
1.33,,0.8710
1.50,,0.8652
1.67,,0.8595
1.83,,0.8546
2.00,,0.8497
2.17,,0.8442
2.33,,0.8394
2.50,,0.8347
2.67,,0.8304
2.83,,0.8269
3.00,,0.8227
3.17,,0.8185
3.33,,0.8140
3.50,,0.8099
3.67,,0.8055
3.83,,0.8019
4.00,,0.7976
4.17,,0.7933
4.33,,0.7897
4.50,,0.7852
4.67,,0.7814
4.83,,0.7773
5.00,,0.7732
5.17,,0.7692
5.33,,0.7655
5.50,,0.7615
5.67,,0.7573
5.83,,0.7534
6.00,,0.7492
6.17,,0.7454
6.33,,0.7416
6.50,,0.7376
6.67,,0.7342
6.83,,0.7302
7.00,,0.7260
7.17,,0.7223
7.33,,0.7188
7.50,,0.7146
7.67,,0.7111
7.83,,0.7071
8.00,,0.7036
8.17,,0.6994
8.33,,0.6957
8.50,,0.6923
8.67,,0.6880
8.83,,0.6839
9.00,,0.6809
9.17,,0.6773
9.33,,0.6739
9.50,,0.6701
9.67,,0.6662
9.83,,0.6628
10.00,,0.6587
10.17,,0.6549
10.33,,0.6514
10.50,,0.6476
10.67,,0.6432
10.83,,0.6395
11.00,,0.6359
11.17,,0.6323
11.33,,0.6287
11.50,,0.6251
11.67,,0.6216
11.83,,0.6181
12.00,,0.6144
12.17,,0.6105
12.33,,0.6069
12.50,,0.6033
12.67,,0.5993
12.83,,0.5960
13.00,,0.5920
13.17,,0.5886
13.33,,0.5851
13.50,,0.5813
13.67,,0.5777
13.83,,0.5741
14.00,,0.5702
14.17,,0.5665
14.33,,0.5630
14.50,,0.5596
14.67,,0.5562
14.83,,0.5524
15.00,,0.5487
