Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\H209R_50.dux
Date Acquired:,,,"March 10, 2017 4:12 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,-0.0133
Corr Coeff,,-0.4377
Variance,,0.014652
Result unit/min,,0.0133

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.9268
0.17,,0.9107
0.33,,0.8931
0.50,,-0.3000
0.67,,0.8710
0.83,,0.8648
1.00,,0.8587
1.17,,0.8538
1.33,,0.8486
1.50,,0.8438
1.67,,0.8376
1.83,,0.8326
2.00,,0.8294
2.17,,0.8262
2.33,,0.8227
2.50,,0.8192
2.67,,0.8157
2.83,,0.8123
3.00,,0.8089
3.17,,0.8062
3.33,,0.8035
3.50,,0.8005
3.67,,0.7976
3.83,,0.7943
4.00,,0.7917
4.17,,0.7887
4.33,,0.7852
4.50,,0.7830
4.67,,0.7798
4.83,,0.7769
5.00,,0.7738
5.17,,0.7707
5.33,,0.7685
5.50,,0.7658
5.67,,0.7630
5.83,,0.7600
6.00,,0.7570
6.17,,0.7540
6.33,,0.7510
6.50,,0.7483
6.67,,0.7451
6.83,,0.7425
7.00,,0.7393
7.17,,0.7359
7.33,,0.7333
7.50,,0.7307
7.67,,0.7282
7.83,,0.7251
8.00,,0.7221
8.17,,0.7190
8.33,,0.7160
8.50,,0.7136
8.67,,0.7109
8.83,,0.7082
9.00,,0.7052
9.17,,0.7023
9.33,,0.6997
9.50,,0.6970
9.67,,0.6942
9.83,,0.6913
10.00,,0.6885
10.17,,0.6859
10.33,,0.6831
10.50,,0.6806
10.67,,0.6776
10.83,,0.6751
11.00,,0.6721
11.17,,0.6699
11.33,,0.6672
11.50,,0.6645
11.67,,0.6619
11.83,,0.6590
12.00,,0.6564
12.17,,0.6533
12.33,,0.6509
12.50,,0.6483
12.67,,0.6455
12.83,,0.6434
13.00,,0.6407
13.17,,0.6384
13.33,,0.6352
13.50,,0.6329
13.67,,0.6305
13.83,,0.6280
14.00,,0.6249
14.17,,0.6225
14.33,,0.6196
14.50,,0.6168
14.67,,0.6142
14.83,,0.6116
15.00,,0.6086

NET ABSORBANCES
Time,,Sample 1
0.00,,0.9268
0.17,,0.9107
0.33,,0.8931
0.50,,-0.3000
0.67,,0.8710
0.83,,0.8648
1.00,,0.8587
1.17,,0.8538
1.33,,0.8486
1.50,,0.8438
1.67,,0.8376
1.83,,0.8326
2.00,,0.8294
2.17,,0.8262
2.33,,0.8227
2.50,,0.8192
2.67,,0.8157
2.83,,0.8123
3.00,,0.8089
3.17,,0.8062
3.33,,0.8035
3.50,,0.8005
3.67,,0.7976
3.83,,0.7943
4.00,,0.7917
4.17,,0.7887
4.33,,0.7852
4.50,,0.7830
4.67,,0.7798
4.83,,0.7769
5.00,,0.7738
5.17,,0.7707
5.33,,0.7685
5.50,,0.7658
5.67,,0.7630
5.83,,0.7600
6.00,,0.7570
6.17,,0.7540
6.33,,0.7510
6.50,,0.7483
6.67,,0.7451
6.83,,0.7425
7.00,,0.7393
7.17,,0.7359
7.33,,0.7333
7.50,,0.7307
7.67,,0.7282
7.83,,0.7251
8.00,,0.7221
8.17,,0.7190
8.33,,0.7160
8.50,,0.7136
8.67,,0.7109
8.83,,0.7082
9.00,,0.7052
9.17,,0.7023
9.33,,0.6997
9.50,,0.6970
9.67,,0.6942
9.83,,0.6913
10.00,,0.6885
10.17,,0.6859
10.33,,0.6831
10.50,,0.6806
10.67,,0.6776
10.83,,0.6751
11.00,,0.6721
11.17,,0.6699
11.33,,0.6672
11.50,,0.6645
11.67,,0.6619
11.83,,0.6590
12.00,,0.6564
12.17,,0.6533
12.33,,0.6509
12.50,,0.6483
12.67,,0.6455
12.83,,0.6434
13.00,,0.6407
13.17,,0.6384
13.33,,0.6352
13.50,,0.6329
13.67,,0.6305
13.83,,0.6280
14.00,,0.6249
14.17,,0.6225
14.33,,0.6196
14.50,,0.6168
14.67,,0.6142
14.83,,0.6116
15.00,,0.6086

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.9268
0.17,,0.9107
0.33,,0.8931
0.50,,-0.3000
0.67,,0.8710
0.83,,0.8648
1.00,,0.8587
1.17,,0.8538
1.33,,0.8486
1.50,,0.8438
1.67,,0.8376
1.83,,0.8326
2.00,,0.8294
2.17,,0.8262
2.33,,0.8227
2.50,,0.8192
2.67,,0.8157
2.83,,0.8123
3.00,,0.8089
3.17,,0.8062
3.33,,0.8035
3.50,,0.8005
3.67,,0.7976
3.83,,0.7943
4.00,,0.7917
4.17,,0.7887
4.33,,0.7852
4.50,,0.7830
4.67,,0.7798
4.83,,0.7769
5.00,,0.7738
5.17,,0.7707
5.33,,0.7685
5.50,,0.7658
5.67,,0.7630
5.83,,0.7600
6.00,,0.7570
6.17,,0.7540
6.33,,0.7510
6.50,,0.7483
6.67,,0.7451
6.83,,0.7425
7.00,,0.7393
7.17,,0.7359
7.33,,0.7333
7.50,,0.7307
7.67,,0.7282
7.83,,0.7251
8.00,,0.7221
8.17,,0.7190
8.33,,0.7160
8.50,,0.7136
8.67,,0.7109
8.83,,0.7082
9.00,,0.7052
9.17,,0.7023
9.33,,0.6997
9.50,,0.6970
9.67,,0.6942
9.83,,0.6913
10.00,,0.6885
10.17,,0.6859
10.33,,0.6831
10.50,,0.6806
10.67,,0.6776
10.83,,0.6751
11.00,,0.6721
11.17,,0.6699
11.33,,0.6672
11.50,,0.6645
11.67,,0.6619
11.83,,0.6590
12.00,,0.6564
12.17,,0.6533
12.33,,0.6509
12.50,,0.6483
12.67,,0.6455
12.83,,0.6434
13.00,,0.6407
13.17,,0.6384
13.33,,0.6352
13.50,,0.6329
13.67,,0.6305
13.83,,0.6280
14.00,,0.6249
14.17,,0.6225
14.33,,0.6196
14.50,,0.6168
14.67,,0.6142
14.83,,0.6116
15.00,,0.6086
