Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\control.dux
Date Acquired:,,,"March 10, 2017 1:06 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,0.0126
Corr Coeff,,0.2735
Variance,,0.038755
Result unit/min,,0.0126

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.9158
0.17,,0.8984
0.33,,0.9501
0.50,,-0.3000
0.67,,-0.3000
0.83,,1.0653
1.00,,1.0708
1.17,,1.0727
1.33,,1.0764
1.50,,1.0795
1.67,,1.0770
1.83,,1.0752
2.00,,1.0727
2.17,,1.0727
2.33,,1.0733
2.50,,1.0739
2.67,,1.0745
2.83,,1.0739
3.00,,1.0739
3.17,,1.0733
3.33,,1.0739
3.50,,1.0733
3.67,,1.0733
3.83,,1.0727
4.00,,1.0727
4.17,,1.0720
4.33,,1.0727
4.50,,1.0708
4.67,,1.0714
4.83,,1.0708
5.00,,1.0708
5.17,,1.0714
5.33,,1.0714
5.50,,1.0720
5.67,,1.0733
5.83,,1.0739
6.00,,1.0733
6.17,,1.0739
6.33,,1.0745
6.50,,1.0739
6.67,,1.0739
6.83,,1.0745
7.00,,1.0752
7.17,,1.0752
7.33,,1.0752
7.50,,1.0752
7.67,,1.0764
7.83,,1.0758
8.00,,1.0758
8.17,,1.0758
8.33,,1.0752
8.50,,1.0752
8.67,,1.0758
8.83,,1.0745
9.00,,1.0758
9.17,,1.0745
9.33,,1.0745
9.50,,1.0739
9.67,,1.0727
9.83,,1.0727
10.00,,1.0733
10.17,,1.0727
10.33,,1.0733
10.50,,1.0727
10.67,,1.0733
10.83,,1.0727
11.00,,1.0720
11.17,,1.0733
11.33,,1.0727
11.50,,1.0720
11.67,,1.0720
11.83,,1.0727
12.00,,1.0727
12.17,,1.0727
12.33,,1.0720
12.50,,1.0714
12.67,,1.0714
12.83,,1.0714
13.00,,1.0714
13.17,,1.0720
13.33,,1.0720
13.50,,1.0714
13.67,,1.0708
13.83,,1.0702
14.00,,1.0702
14.17,,1.0696
14.33,,1.0696
14.50,,1.0696
14.67,,1.0702
14.83,,1.0689
15.00,,1.0683

NET ABSORBANCES
Time,,Sample 1
0.00,,0.9158
0.17,,0.8984
0.33,,0.9501
0.50,,-0.3000
0.67,,-0.3000
0.83,,1.0653
1.00,,1.0708
1.17,,1.0727
1.33,,1.0764
1.50,,1.0795
1.67,,1.0770
1.83,,1.0752
2.00,,1.0727
2.17,,1.0727
2.33,,1.0733
2.50,,1.0739
2.67,,1.0745
2.83,,1.0739
3.00,,1.0739
3.17,,1.0733
3.33,,1.0739
3.50,,1.0733
3.67,,1.0733
3.83,,1.0727
4.00,,1.0727
4.17,,1.0720
4.33,,1.0727
4.50,,1.0708
4.67,,1.0714
4.83,,1.0708
5.00,,1.0708
5.17,,1.0714
5.33,,1.0714
5.50,,1.0720
5.67,,1.0733
5.83,,1.0739
6.00,,1.0733
6.17,,1.0739
6.33,,1.0745
6.50,,1.0739
6.67,,1.0739
6.83,,1.0745
7.00,,1.0752
7.17,,1.0752
7.33,,1.0752
7.50,,1.0752
7.67,,1.0764
7.83,,1.0758
8.00,,1.0758
8.17,,1.0758
8.33,,1.0752
8.50,,1.0752
8.67,,1.0758
8.83,,1.0745
9.00,,1.0758
9.17,,1.0745
9.33,,1.0745
9.50,,1.0739
9.67,,1.0727
9.83,,1.0727
10.00,,1.0733
10.17,,1.0727
10.33,,1.0733
10.50,,1.0727
10.67,,1.0733
10.83,,1.0727
11.00,,1.0720
11.17,,1.0733
11.33,,1.0727
11.50,,1.0720
11.67,,1.0720
11.83,,1.0727
12.00,,1.0727
12.17,,1.0727
12.33,,1.0720
12.50,,1.0714
12.67,,1.0714
12.83,,1.0714
13.00,,1.0714
13.17,,1.0720
13.33,,1.0720
13.50,,1.0714
13.67,,1.0708
13.83,,1.0702
14.00,,1.0702
14.17,,1.0696
14.33,,1.0696
14.50,,1.0696
14.67,,1.0702
14.83,,1.0689
15.00,,1.0683

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.9158
0.17,,0.8984
0.33,,0.9501
0.50,,-0.3000
0.67,,-0.3000
0.83,,1.0653
1.00,,1.0708
1.17,,1.0727
1.33,,1.0764
1.50,,1.0795
1.67,,1.0770
1.83,,1.0752
2.00,,1.0727
2.17,,1.0727
2.33,,1.0733
2.50,,1.0739
2.67,,1.0745
2.83,,1.0739
3.00,,1.0739
3.17,,1.0733
3.33,,1.0739
3.50,,1.0733
3.67,,1.0733
3.83,,1.0727
4.00,,1.0727
4.17,,1.0720
4.33,,1.0727
4.50,,1.0708
4.67,,1.0714
4.83,,1.0708
5.00,,1.0708
5.17,,1.0714
5.33,,1.0714
5.50,,1.0720
5.67,,1.0733
5.83,,1.0739
6.00,,1.0733
6.17,,1.0739
6.33,,1.0745
6.50,,1.0739
6.67,,1.0739
6.83,,1.0745
7.00,,1.0752
7.17,,1.0752
7.33,,1.0752
7.50,,1.0752
7.67,,1.0764
7.83,,1.0758
8.00,,1.0758
8.17,,1.0758
8.33,,1.0752
8.50,,1.0752
8.67,,1.0758
8.83,,1.0745
9.00,,1.0758
9.17,,1.0745
9.33,,1.0745
9.50,,1.0739
9.67,,1.0727
9.83,,1.0727
10.00,,1.0733
10.17,,1.0727
10.33,,1.0733
10.50,,1.0727
10.67,,1.0733
10.83,,1.0727
11.00,,1.0720
11.17,,1.0733
11.33,,1.0727
11.50,,1.0720
11.67,,1.0720
11.83,,1.0727
12.00,,1.0727
12.17,,1.0727
12.33,,1.0720
12.50,,1.0714
12.67,,1.0714
12.83,,1.0714
13.00,,1.0714
13.17,,1.0720
13.33,,1.0720
13.50,,1.0714
13.67,,1.0708
13.83,,1.0702
14.00,,1.0702
14.17,,1.0696
14.33,,1.0696
14.50,,1.0696
14.67,,1.0702
14.83,,1.0689
15.00,,1.0683
